route_id,stop_name,stop_id,stop_sequence,stop_lat,stop_lon
T12,p.za s. maria del suffragio,12099,34,45.4621901552634,9.21104178227657
T12,via cadore c.so ventidue marzo,12108,35,45.4621872019833,9.21427674341147
T12,p.za emilia,14872,36,45.4617122111966,9.21728169485728
T12,via arconati,14873,37,45.4578232210035,9.21848468000596
T12,p.le martini,14874,38,45.4567762666815,9.22222165128967
T12,v.le molise,14869,39,45.4572373061018,9.22393161156749
T10,v.le lunigiana,15401,1,45.4914268413932,9.20562963821296
T10,via schiaparelli via p.te seveso,17611,2,45.4897074762311,9.20476386549787
T10,stazione centrale via tonale,11929,3,45.4886048783494,9.20372266139448
T10,stazione centrale m2 m3,11916,4,45.4868168682125,9.20186968479484
T10,via filzi via pirelli,15529,5,45.4842249064654,9.20011976706521
T10,via filzi via adda,11879,6,45.4831148921049,9.19941078708611
T10,p.za s. gioachimo,12991,7,45.4814609463724,9.19807882565433
T10,v.le monte santo,11863,8,45.4797369226096,9.19482785041019
T10,p.le principessa clotilde (osp. fatebenefratelli),11859,9,45.4803489347859,9.19256590879545
T10,v.le m.te grappa via gioia,17582,10,45.4808469215911,9.188483882555
T10,stazione garibaldi m2 m5,17326,11,45.4839138579424,9.18624994957007
T10,via farini via ferrari,17668,12,45.485704266209,9.18247123583827
T10,monumentale m5,17612,13,45.4845858230071,9.18042268226992
T10,p.le cim.monumentale via bramante,17613,14,45.4843166934545,9.17803859425653
T10,via procaccini via lomazzo,11297,15,45.4837228239003,9.17104311754285
T10,p.za gramsci,11290,16,45.4820308554856,9.16802316266376
T10,c.so sempione via procaccini,11284,17,45.4809848278498,9.16637423349196
T10,c.so sempione via villasanta,11283,18,45.4793498665305,9.166951206733
T10,c.so sempione via canova,11287,19,45.4778718866219,9.16897420161929
T10,arco della pace,11262,20,45.476308899474,9.17151918007782
T10,via pagano via canova,11258,21,45.4741879449934,9.17001519835832
T10,l.go quinto alpini,11252,22,45.4726029560821,9.16757622317937
T10,via ariosto,11249,23,45.4699539462175,9.16591924430126
T10,conciliazione m1,11245,24,45.4678720165757,9.16529130059694
T10,p.le baracca,10899,25,45.4663559880751,9.16483830590783
T10,v.le s. michele del carso p.za de meis,10896,26,45.4639230205238,9.16412034741655
T10,p.le aquileia,10890,27,45.4610550422339,9.16331834665059
T10,v.le coni zugna via foppa,11204,28,45.4596130569741,9.16550937992451
T10,v.le coni zugna via solari,11212,29,45.4572121360316,9.16922727056079
T10,p.le cantore,11187,30,45.4553101603712,9.17207924366631
T10,p.ta genova m2,11179,31,45.4534181670206,9.17002129411278
T10,via vigevano via corsico,11191,32,45.4530071802505,9.17289125303977
T10,via vigevano v.le gorizia,11198,33,45.4527851674734,9.17581221839884
